,Date,BRL=X,CAD=X,CL=F,CT=F,ES=F,EUR=X,GBP=X,GC=F,JPY=X,MXN=X,NQ=F,SB=F,SI=F,YM=F,ZB=F,ZC=F,ZF=F,ZN=F,ZT=F,CarteiraRenda_Fixa,CarteiraMoeda,CarteiraEquity
259,2000-12-29,,,,-0.0232595039683474,,,,,0.0033667061056007,,,,,,,,,,,,,
260,2001-01-01,,,,0.0,,,,,-0.003057277394992,,,,,,,,,,,,,
261,2001-01-02,,,,0.0071876561480232,,,,,-0.0101975682675561,,,,,,,,,,,,,
262,2001-01-03,,,,-0.0158005488312905,,,,,0.040691544268386,,,,,,,,,,,,,
263,2001-01-04,,,,-0.0022237339045734,,,,,0.0051936932107856,,,,,,,,,,,,,
264,2001-01-05,,,,0.0096692472668179,,,,,-0.0051118464650659,,,,,,,,,,,,,
265,2001-01-08,,,,-0.0042131512118977,,,,,0.0142869198729398,,,,,,,,,,,,,
266,2001-01-09,,,,0.0056168833044632,,,,,-0.0089768020478493,,,,,,,,,,,,,
267,2001-01-10,,,,0.0063340883568498,,,,,0.0210681988810733,,,,,,,,,,,,,
268,2001-01-11,,,,0.002981204979957,,,,,0.0076339236031523,,,,,,,,,,,,,
269,2001-01-12,,,,-0.0019268845251188,,,,,0.0087923950285437,,,,,,,,,,,,,
270,2001-01-15,,,,0.0,,,,,-0.0193344048895828,,,,,,,,,,,,,
271,2001-01-16,,,,-0.0054908397158838,,,,,0.0190058719434307,,,,,,,,,,,,,
272,2001-01-17,,,,-0.0002545670604447,,,,,-0.0158093088663446,,,,,,,,,,,,,
273,2001-01-18,,,,0.0016828924172854,,,,,-0.0092677619004741,,,,,,,,,,,,,
274,2001-01-19,,,,-0.0166599626738611,,,,,-0.0080602461953839,,,,,,,,,,,,,
275,2001-01-22,,,,-0.0010423344957476,,,,,0.0018131714498331,,,,,,,,,,,,,
276,2001-01-23,,,,0.0242760296362271,,,,,0.015834398135082,,,,,,,,,,,,,
277,2001-01-24,,,,-0.0059806366493489,,,,,-0.0152244490785853,,,,,,,,,,,,,
278,2001-01-25,,,,0.007771506172362,,,,,0.0081256834366144,,,,,,,,,,,,,
279,2001-01-26,,,,-0.0035616554290867,,,,,-0.0067463923199838,,,,,,,,,,,,,
280,2001-01-29,,,,0.0128346003294928,,,,,-0.0127933728875009,,,,,,,,,,,,,
