,Date,ES=F,GC=F,NQ=F,RTY=F,YM=F,AverageEquity
226,2001-07-26,-0.0003475061847116,0.0031404990107668,0.0003520401858958,,,
227,2001-07-27,-1.8282672005314468e-05,0.0074044431925723,-0.0001165375308639,,,
228,2001-07-30,0.0004010370707687,0.0042075666805036,0.0001159086664986,,,
229,2001-07-31,0.0004546132305154,-0.0031331910204999,0.0004679255666881,,,
230,2001-08-01,-0.0003265787861816,0.0,0.0003585701911934,,,
231,2001-08-02,0.0004564623789532,-0.0013032421192952,-0.000334564402858,,,
232,2001-08-03,0.0012423966787629,0.0020971612884764,-0.0002826051390306,,,
233,2001-08-06,0.0003513626759611,0.0002625357047915,-9.480735473557124e-05,,,
234,2001-08-07,-0.0016744636765918,-0.0018350003197427,0.000798762665382,,,
235,2001-08-08,-0.0001692749455114,0.0141643586298393,-7.14938664037306e-05,,,
236,2001-08-09,0.0002618322017429,-0.0012871113290049,-0.000171967344722,,,
237,2001-08-10,9.36190711506966e-05,0.0045672902528587,-0.0003490152872672,,,
238,2001-08-13,-1.8763168428911724e-05,0.0015217648511701,-0.0002380499795928,,,
239,2001-08-14,-0.0008544701785947,-0.001523982028743,-0.0006725377093215,,,
240,2001-08-15,0.0002846863045621,-0.0012743738791945,0.0001993112473579,,,
241,2001-08-16,-0.001446274119672,0.0103128122646307,-0.0008649301219683,,,
242,2001-08-17,-0.0007471861718475,0.0081568488332779,-0.0002475836868483,,,
243,2001-08-20,0.0014771739169927,-0.00280065927141,-0.0008122046361595,,,
244,2001-08-21,-0.0008474367383987,-0.0002538471804156,-0.0005034124192292,,,
245,2001-08-22,0.000366718701367,0.001014483772062,-0.0001937121757235,,,
246,2001-08-23,0.0018525346431416,0.0071928103082143,-0.0009037825141081,,,
247,2001-08-24,0.0005524367224191,0.0002573175288206,4.028543696503239e-05,,,
248,2001-08-27,-0.0013099697295388,0.0007707623609494,0.0005935615426082,,,
249,2001-08-28,0.0008762001590776,-0.0035875010497562,0.0002963278056567,,,
250,2001-08-29,0.0017847335580087,0.0043386488000014,0.0006775243972949,,,
251,2001-08-30,0.0007082345734057,-0.0025615871121381,0.000211152729303,,,
252,2001-08-31,0.0005924561467471,0.0072424771192712,-0.0005897988030773,,,
253,2001-09-04,0.0001577943378883,0.001033951675219,-9.68544281565774e-05,,,
254,2001-09-05,-0.002391852196307,0.0025686156593879,0.0007602211483037,,,
255,2001-09-06,0.001676337860009,0.0002572916783247,0.0001221918894905,,,
256,2001-09-07,-0.0010183694804614,-0.0038836253059125,-0.0002279199665812,,,
257,2001-09-10,-0.0,0.0451857971898809,0.0004755781798344,,,
258,2001-09-11,-0.0048636174827051,,-0.0012379538484475,,,
259,2001-09-14,,0.0009729843253078,,,,
260,2001-09-17,0.0003450827875734,-0.0040253763383039,0.0004070904633104,,,
261,2001-09-18,0.0019177496856148,0.0079728453707849,-0.0003763655062111,,,
262,2001-09-19,0.0029554620620789,-0.0059104790263869,-0.0006200841471013,,,
263,2001-09-20,-0.0037779983322156,0.006763446785337,-0.0011677572548778,,,
264,2001-09-21,0.005901085795905,0.005159873738591,-0.0015731405967197,,,
265,2001-09-24,-0.0008988746455028,-0.0018661631667337,0.000107799433079,,,
266,2001-09-25,0.0003179291814034,-0.0064605775172869,-0.000668624797846,,,
267,2001-09-26,-0.0006731214711239,-0.0037166493354279,0.0001772178713615,,,
268,2001-09-27,0.0017548420303771,0.001618135680433,-0.0004252545459834,,,
269,2001-09-28,4.134544720665958e-05,0.0004625071248296,-0.0002479334542759,,,
270,2001-10-01,-0.0009989210180393,-0.0053693361317969,6.385041750250748e-05,,,
271,2001-10-02,-0.001525961472611,0.0014011342041859,0.0012877352241891,,,
272,2001-10-03,8.022649424689074e-05,-0.0,0.0002139317193994,,,
273,2001-10-04,-0.0003013727170716,0.0020953716753642,-0.0002327206104967,,,
274,2001-10-05,0.0005268894653202,0.0023266349484508,7.981560365728772e-05,,,
275,2001-10-08,-0.0004284681386848,-0.0082506638378943,0.0004695085393393,,,
276,2001-10-09,-0.0018590102929451,0.0076345999393597,0.0008351535068575,,,
277,2001-10-10,-0.0013014529409222,0.0093977849648109,0.0011283579186912,,,
278,2001-10-11,0.0004546505841362,-0.0073649921177676,-0.0001012628325514,,,
279,2001-10-12,0.0001186281133385,0.0066881109554852,-6.742619704458441e-06,,,
280,2001-10-15,-0.0004921524227374,0.0004759187258836,0.000299287853956,,,
281,2001-10-16,0.0018336944664484,0.0026013505249345,-0.001481952515559,,,
282,2001-10-17,0.0001819633110671,-0.0101057802485956,0.0004912350114667,,,
283,2001-10-18,0.0001009380741908,-0.0021601097622494,0.0001389562699488,,,
284,2001-10-19,-0.0016668800221937,0.0111690502643687,0.0004877398107824,,,
